"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 12:29:56 GMT 2022","Tue Jul 19 12:30:04 GMT 2022","7876","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
"passed","Tue Jul 19 12:29:45 GMT 2022","Tue Jul 19 12:29:50 GMT 2022","5455","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"broken","Tue Jul 19 12:29:51 GMT 2022","Tue Jul 19 12:29:56 GMT 2022","5336","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
